title,artist
cruel summer,taylor swift
lovin on me,jack harlow
paint the town red,doja cat
snooze,sza
is it over now? (taylor's version) [from the vault],taylor swift
i remember everything,zach bryan featuring kacey musgraves
fast car,luke combs
greedy,tate mcrae
last night,morgan wallen
thinkin' bout me,morgan wallen
houdini,dua lipa
white horse,chris stapleton
need a favor,jelly roll
agora hills,doja cat
water,tyla
rich baby daddy,drake featuring sexyy red & sza
all i want for christmas is you,mariah carey
fukumean,gunna
save me,jelly roll with lainey wilson
dance the night,dua lipa
vampire,olivia rodrigo
used to be young,miley cyrus
lil boo thang,paul russell
monaco,bad bunny
first person shooter,drake featuring j. cole
idgaf,drake featuring yeat
what was i made for?,billie eilish
good good,"usher, summer walker & 21 savage"
flowers,miley cyrus
my love mine all mine,mitski
stick season,noah kahan
last christmas,wham!
now that we don't talk (taylor's version) [from the vault],taylor swift
dial drunk,noah kahan with post malone
what it is (block boy),doechii featuring kodak black
kill bill,sza
northern attitude,noah kahan with hozier
jingle bell rock,bobby helms
lose control,teddy swims
harley quinn,fuerza regida & marshmello
daylight,david kushner
i know ?,travis scott
wild ones,jessie murph & jelly roll
a holly jolly christmas,burl ives
barbie world,nicki minaj & ice spice with aqua
pretty little poison,warren zeiders
world on fire,nate smith
on my mama,victoria monet
slut! (taylor's version) [from the vault],taylor swift
standing next to you,jung kook
500lbs,lil tecca
strangers,kenya grace
say don't go (taylor's version) [from the vault],taylor swift
bad idea right?,olivia rodrigo
great gatsby,rod wave
get him back!,olivia rodrigo
can't have mine,dylan scott
virginia beach,drake
everything i love,morgan wallen
standing room only,tim mcgraw
try that in a small town,jason aldean
the painter,cody johnson
cobra,megan thee stallion
truck bed,hardy
qlona,karol g & peso pluma
too much,"the kid laroi, jung kook & central cee"
perro negro,bad bunny & feid
hey driver,zach bryan featuring the war and treaty
style (taylor's version),taylor swift
rich men north of richmond,oliver anthony music
meltdown,travis scott featuring drake
bongos,cardi b & megan thee stallion
slime you out,drake featuring sza
segun quien,maluma & carin leon
que onda,calle 24 x chino pacas x fuerza regida
now and then,the beatles
single soon,selena gomez
burn it down,parker mccollum
lala,myke towers
bad blood (taylor's version),taylor swift
can't catch me now,olivia rodrigo
turks & caicos,rod wave featuring 21 savage
skeeyee,sexyy red
3d,jung kook & jack harlow
out of the woods (taylor's version),taylor swift
wildest dreams (taylor's version),taylor swift
el amor de su vida,grupo frontera & grupo firme
save me the trouble,dan + shay
stars like confetti,dustin lynch
lalalala,stray kids
seven,jung kook featuring latto
suburban legends (taylor's version) [from the vault],taylor swift
blank space (taylor's version),taylor swift
we don't fight anymore,carly pearce featuring chris stapleton
smurk carter,lil durk
mi ex tenia razon,karol g
different 'round here,riley green featuring luke combs
but i got a beer in my hand,luke bryan
better than ever,youngboy never broke again & rod wave
soak city (do it),310babii
3d (justin timberlake remix),jung kook & justin timberlake
dj play a christmas song,cher
wrap me up,jimmy fallon & meghan trainor
all i want for christmas is you,mariah carey
i remember everything (feat. kacey musgraves),zach bryan
save me (with lainey wilson),jelly roll
christmas / sarajevo 12/24 (instrumental),trans-siberian orchestra
rockin' around the christmas tree (single),brenda lee
standing next to you,jung kook
thinkin’ bout me,morgan wallen
fairytale of philadelphia,"the philly specials, jason kelce & travis kelce"
where the wild things are,luke combs
standing next to you (band version),jung kook
greedy,tate mcrae
the christmas song (merry christmas to you),"nat ""king"" cole"
last christmas (single version),wham!
standing next to you (future funk remix),jung kook
standing next to you (slow jam remix),jung kook
standing next to you (holiday remix),jung kook
90s rap mashup,austin williams
snowman,sia
standing next to you (pbr&b remix),jung kook
underneath the tree,kelly clarkson
standing next to you (latin trap remix),jung kook
standing next to you (instrumental),jung kook
christmas tree farm,taylor swift
white christmas,bing crosby
fancy like christmas,walker hayes
monaco,bad bunny
can’t catch me now (from the hunger games: the ballad of songbirds & snakes),olivia rodrigo
find your people,drew holcomb & the neighbors
the chipmunk song (christmas don't be late),alvin & the chipmunks
wizards in winter (instrumental),trans-siberian orchestra
rich men north of richmond,oliver anthony music
lover,taylor swift
this wish,ariana debose & disney
a lot more free,max mcnown
better place (from trolls band together),*nsync & justin timberlake
wondering why,the red clay strays
you make it feel like christmas (feat. blake shelton),gwen stefani
it's beginning to look a lot like christmas,michael bublé
merry christmas,ed sheeran & elton john
wild ones (extended version),jessie murph & jelly roll
good good,"usher, summer walker & 21 savage"
to be a man (feat. darius rucker),dax
it's the most wonderful time of the year,andy williams
anti-hero,taylor swift
karma,taylor swift
tennessee whiskey,chris stapleton
save me,jelly roll
son of a sinner,jelly roll
a mad russian's christmas (instrumental),trans-siberian orchestra
truck bed,hardy
calm down,rema & selena gomez
watermelon moonshine,lainey wilson
...ready for it?,taylor swift
tambourine,eve
vampire,olivia rodrigo
"what was i made for? [from the motion picture ""barbie""]",billie eilish
rolling in the deep,adele
surround sound (feat. 21 savage & baby tate),jid
something in the orange (z&e's version),zach bryan
feliz navidad,josé feliciano
linus and lucy,vince guaraldi trio
golden hour,jvke
sin so sweet,warren zeiders
cult of personality (remastered 2023),living colour
world on fire,nate smith
christmas canon rock,trans-siberian orchestra
love story (taylor’s version),taylor swift
santa tell me,ariana grande
islands in the stream,dolly parton & kenny rogers
exes,tate mcrae
23,chayce beckham
unstoppable,sia
dirt cheap,cody johnson
